case_id,activity_id,time_stamp,product_id
2,3,2023-09-24 09:30:45,2
9,3,2023-09-24 09:30:55,9
16,3,2023-09-24 09:31:05,16
23,3,2023-09-24 09:31:15,23
30,3,2023-09-24 09:31:25,30
37,3,2023-09-24 09:31:35,37
44,3,2023-09-24 09:31:45,44
51,3,2023-09-24 09:31:55,51
58,3,2023-09-24 09:32:05,58
65,3,2023-09-24 09:32:15,65
72,3,2023-09-24 09:32:25,72
79,3,2023-09-24 09:32:35,79
86,3,2023-09-24 09:32:45,86
93,3,2023-09-24 09:32:55,93
100,3,2023-09-24 09:33:05,100
107,3,2023-09-24 09:33:15,107
114,3,2023-09-24 09:33:25,114
121,3,2023-09-24 09:33:35,121
128,3,2023-09-24 09:33:45,128
135,3,2023-09-24 09:33:55,135
142,3,2023-09-24 09:34:05,142
149,3,2023-09-24 09:34:25,149
156,3,2023-09-24 09:34:45,156
163,3,2023-09-24 09:35:05,163
170,3,2023-09-24 09:35:25,170
177,3,2023-09-24 09:35:45,177
184,3,2023-09-24 09:36:05,184
191,3,2023-09-24 09:36:25,191
198,3,2023-09-24 09:36:45,198
205,3,2023-09-24 09:37:05,205
212,3,2023-09-24 09:37:25,212
219,3,2023-09-24 09:37:45,219
226,3,2023-09-24 09:38:05,226
233,3,2023-09-24 09:38:25,233
240,3,2023-09-24 09:38:45,240
247,3,2023-09-24 09:39:05,247
254,3,2023-09-24 09:39:25,254
261,3,2023-09-24 09:39:45,261
268,3,2023-09-24 09:40:05,268
275,3,2023-09-24 09:40:25,275
282,3,2023-09-24 09:40:45,282
289,3,2023-09-24 09:41:05,289
296,3,2023-09-24 09:41:25,296
303,3,2023-09-24 09:41:45,303
310,3,2023-09-24 09:42:05,310
317,3,2023-09-24 09:42:25,317
324,3,2023-09-24 09:42:45,324
331,3,2023-09-24 09:43:05,331
338,3,2023-09-24 09:43:25,338
345,3,2023-09-24 09:43:45,345
352,3,2023-09-24 09:44:05,352
359,3,2023-09-24 09:44:25,359
366,3,2023-09-24 09:44:45,366
373,3,2023-09-24 09:45:05,373
380,3,2023-09-24 09:45:25,380
387,3,2023-09-24 09:45:45,387
394,3,2023-09-24 09:46:05,394
401,3,2023-09-24 09:46:25,401
408,3,2023-09-24 09:46:45,408
415,3,2023-09-24 09:47:05,415
422,3,2023-09-24 09:47:25,422
429,3,2023-09-24 09:47:45,429
436,3,2023-09-24 09:48:05,436
443,3,2023-09-24 09:48:25,443
450,3,2023-09-24 09:48:45,450
457,3,2023-09-24 09:49:05,457
464,3,2023-09-24 09:49:25,464
471,3,2023-09-24 09:49:45,471
478,3,2023-09-24 09:50:05,478
485,3,2023-09-24 09:50:25,485
492,3,2023-09-24 09:50:45,492
499,3,2023-09-24 09:51:05,499
506,3,2023-09-24 09:51:25,506
513,3,2023-09-24 09:51:45,513
520,3,2023-09-24 09:52:05,520
527,3,2023-09-24 09:52:25,527
534,3,2023-09-24 09:52:45,534
541,3,2023-09-24 09:53:05,541
548,3,2023-09-24 09:53:25,548
555,3,2023-09-24 09:53:45,555
562,3,2023-09-24 09:54:05,562
569,3,2023-09-24 09:54:25,569
576,3,2023-09-24 09:54:45,576
583,3,2023-09-24 09:55:05,583
590,3,2023-09-24 09:55:25,590
597,3,2023-09-24 09:55:45,597
604,3,2023-09-24 09:56:05,604
611,3,2023-09-24 09:56:25,611
618,3,2023-09-24 09:56:45,618
625,3,2023-09-24 09:57:05,625
632,3,2023-09-24 09:57:25,632
639,3,2023-09-24 09:57:45,639
646,3,2023-09-24 09:58:05,646
653,3,2023-09-24 09:58:25,653
660,3,2023-09-24 09:58:45,660
667,3,2023-09-24 09:59:05,667
674,3,2023-09-24 09:59:25,674
681,3,2023-09-24 09:59:45,681
688,3,2023-09-24 10:00:05,688
695,3,2023-09-24 10:00:25,695
702,3,2023-09-24 10:00:45,702
709,3,2023-09-24 10:01:05,709
716,3,2023-09-24 10:01:25,716
723,3,2023-09-24 10:01:45,723
730,3,2023-09-24 10:02:05,730
737,3,2023-09-24 10:02:25,737
744,3,2023-09-24 10:02:45,744
751,3,2023-09-24 10:03:05,751
758,3,2023-09-24 10:03:25,758
765,3,2023-09-24 10:03:45,765
772,3,2023-09-24 10:04:05,772
779,3,2023-09-24 10:04:25,779
786,3,2023-09-24 10:04:45,786
793,3,2023-09-24 10:05:05,793
800,3,2023-09-24 10:05:25,800
807,3,2023-09-24 10:05:45,807
814,3,2023-09-24 10:06:05,814
821,3,2023-09-24 10:06:25,821
828,3,2023-09-24 10:06:45,828
835,3,2023-09-24 10:07:05,835
842,3,2023-09-24 10:07:25,842
849,3,2023-09-24 10:07:45,849
856,3,2023-09-24 10:08:05,856
863,3,2023-09-24 10:08:25,863
870,3,2023-09-24 10:08:45,870
877,3,2023-09-24 10:09:05,877
884,3,2023-09-24 10:09:25,884
891,3,2023-09-24 10:09:45,891
898,3,2023-09-24 10:10:05,898
905,3,2023-09-24 10:10:25,905
912,3,2023-09-24 10:10:45,912
919,3,2023-09-24 10:11:05,919
926,3,2023-09-24 10:11:25,926
933,3,2023-09-24 10:11:45,933
940,3,2023-09-24 10:12:05,940
947,3,2023-09-24 10:12:25,947
954,3,2023-09-24 10:12:45,954
961,3,2023-09-24 10:13:05,961
968,3,2023-09-24 10:13:25,968
975,3,2023-09-24 10:13:45,975
982,3,2023-09-24 10:14:05,982
989,3,2023-09-24 10:14:25,989
996,3,2023-09-24 10:14:45,996
1003,3,2023-09-24 10:15:05,1003
1010,3,2023-09-24 10:15:25,1010
1017,3,2023-09-24 10:15:45,1017
1024,3,2023-09-24 10:16:05,1024
1031,3,2023-09-24 10:16:25,1031
1038,3,2023-09-24 10:16:45,1038
1045,3,2023-09-24 10:17:05,1045
1052,3,2023-09-24 10:17:25,1052
1059,3,2023-09-24 10:17:45,1059
1066,3,2023-09-24 10:18:05,1066
1073,3,2023-09-24 10:18:25,1073
1080,3,2023-09-24 10:18:45,1080
1087,3,2023-09-24 10:19:05,1087
1094,3,2023-09-24 10:19:25,1094
1101,3,2023-09-24 10:19:45,1101
1108,3,2023-09-24 10:20:05,1108
1115,3,2023-09-24 10:20:25,1115
1,2,2023-09-24 09:30:45,1
8,2,2023-09-24 09:30:55,8
15,2,2023-09-24 09:31:05,15
22,2,2023-09-24 09:31:15,22
29,2,2023-09-24 09:31:25,29
36,2,2023-09-24 09:31:35,36
43,2,2023-09-24 09:31:45,43
50,2,2023-09-24 09:31:55,50
57,2,2023-09-24 09:32:05,57
64,2,2023-09-24 09:32:15,64
71,2,2023-09-24 09:32:25,71
78,2,2023-09-24 09:32:35,78
85,2,2023-09-24 09:32:45,85
92,2,2023-09-24 09:32:55,92
99,2,2023-09-24 09:33:05,99
106,2,2023-09-24 09:33:15,106
113,2,2023-09-24 09:33:25,113
120,2,2023-09-24 09:33:35,120
127,2,2023-09-24 09:33:45,127
134,2,2023-09-24 09:33:55,134
141,2,2023-09-24 09:34:05,141
148,2,2023-09-24 09:34:25,148
155,2,2023-09-24 09:34:45,155
162,2,2023-09-24 09:35:05,162
169,2,2023-09-24 09:35:25,169
176,2,2023-09-24 09:35:45,176
183,2,2023-09-24 09:36:05,183
190,2,2023-09-24 09:36:25,190
197,2,2023-09-24 09:36:45,197
204,2,2023-09-24 09:37:05,204
211,2,2023-09-24 09:37:25,211
218,2,2023-09-24 09:37:45,218
225,2,2023-09-24 09:38:05,225
232,2,2023-09-24 09:38:25,232
239,2,2023-09-24 09:38:45,239
246,2,2023-09-24 09:39:05,246
253,2,2023-09-24 09:39:25,253
260,2,2023-09-24 09:39:45,260
267,2,2023-09-24 09:40:05,267
274,2,2023-09-24 09:40:25,274
281,2,2023-09-24 09:40:45,281
288,2,2023-09-24 09:41:05,288
295,2,2023-09-24 09:41:25,295
302,2,2023-09-24 09:41:45,302
309,2,2023-09-24 09:42:05,309
316,2,2023-09-24 09:42:25,316
323,2,2023-09-24 09:42:45,323
330,2,2023-09-24 09:43:05,330
337,2,2023-09-24 09:43:25,337
344,2,2023-09-24 09:43:45,344
351,2,2023-09-24 09:44:05,351
358,2,2023-09-24 09:44:25,358
365,2,2023-09-24 09:44:45,365
372,2,2023-09-24 09:45:05,372
379,2,2023-09-24 09:45:25,379
386,2,2023-09-24 09:45:45,386
393,2,2023-09-24 09:46:05,393
400,2,2023-09-24 09:46:25,400
407,2,2023-09-24 09:46:45,407
414,2,2023-09-24 09:47:05,414
421,2,2023-09-24 09:47:25,421
428,2,2023-09-24 09:47:45,428
435,2,2023-09-24 09:48:05,435
442,2,2023-09-24 09:48:25,442
449,2,2023-09-24 09:48:45,449
